MB_num_2006  CAU_num_2006  NZDep2006  NZDep_score_2006  UR_pop_2006  
0040602      501634                 10              1167            0
0040701      501700                  9              1134          141
0040702      501700                  9              1099           48
0040703      501700                  9              1099          114
0040801      501700                  9              1100          105
0040802      501700                  9              1100           51
0040900      501700                 10              1166           96
0041000      501700                 10              1166           57
0041100      501700                  9              1073          120
0041200      501700                 10              1168          165
0041300      501700                  9              1089          195
0041401      501700                 10              1187           48
0041402      501700                 10              1187           93
0041403      501700                 10              1187           90
0041500      501700                  9              1073           18
0041600      501700                 10              1212           69
0041700      501700                 10              1212          147
0041800      501700                  9              1138           99
0041900      501700                  9              1138          105
0042000      501700                 10              1242          216
0042100      501700                 10              1188          186
0042201      501700                 10              1188           48
0042202      501700                 10              1220          249
0042300      501700                 10              1277          180
0042400      501700                 10              1183          108
0042500      501700                  9              1131           99
0042600      501700                  9              1131           51
0042700      501700                 10              1172           93
0042800      501700                 10              1270            3
0042900      501700                 10              1270           72
0043000      501700                 10              1212          147
0043100      501700                 10              1172          108
0043200      501700                 10              1502          153
0043300      501700                 10              1183           60
0043400      501700                 10              1183           36
0043500      501700                 10              1145          141
0043600      501700                 10              1270           60
0043700      501700                 10              1145           27
0043800      501633                  3               920          144
0043902      501633                  4               937           36
0043904      501614                  4               937          114
0043905      501614                  5               960          126
0043906      501614                  5               954          234
0043907      501614                  4               943          117
0044003      501614                  7              1021          180
0044004      501614                  4               952          120
0044005      501614                  3               923          159
0044006      500402                  8              1065          117
0044007      501614                  8              1065           18
0044008      501614                  8              1065           57
0044101      501613                  8              1065            0
0044102      501614                  8              1043          252
0044201      501614                  7              1025           63
0044202      501613                  7              1025            3
0044301      501614                  7              1025           84
0044302      501613                  7              1025            0
0044402      501613                  5               963            9
0044403      501614                  5               963           90
0044404      501614                  5               963          174
0044405      501614                  2               915           69
0044406      501614                  2               915          132
0044501      501614                  3               930          279
0044502      500900                  5               960          369
0044601      500900                  2               911          315
0044602      500900                  5               956          111
0044701      501633                  5               961           99
0044702      501633                  6               985          156
0044703      501633                  5               961           12
0044801      501614                  1               888          180
0044802      500900                  3               929          300
0044901      501620                  9              1103           42
0044902      501620                  9              1103           15
0045000      501620                  9              1103           69
0045100      501620                  9              1103           57
0045200      501620                  8              1044           48
0045300      501620                  8              1044           75
0045400      501620                  8              1044           63
0045500      501620                  8              1037           42
0045600      501620                  8              1037           39
0045700      501620                  8              1037           24
0045800      501620                  8              1037           63
0045901      501620                  4               952           45
0045902      501620                  4               952           42
0046001      501620                  4               952           27
0046002      501620                  4               952           24
0046100      501620                  8              1037           33
0046200      501620                 10              1145            9
0046300      501620                 10              1145           39
0046400      501620                 10              1145           51
0046500      501620                 10              1145           30
0046600      501620                 10              1252           21
0046700      501620                 10              1252           54
0046801      501620                 10              1252            9
0046802      501620                 10              1252           15
0046901      501620                 10              1252           12
0046902      501620                 10              1252            9
0047001      501620                 10              1252           15
0047002      501620                 10              1252           48
0047100      501620                 10              1252           12
0047200      501620                 10              1252           21
0047301      501500                  8              1070           48
0047302      501634                  8              1070           12
0047400      501634                  8              1070           15
0047500      501634                  8              1070           21
0047601      501620                  7               999           18
0047602      501620                  7               999           18
0047603      501620                  7              1019           84
0047701      501620                  7               999           36
0047702      501620                  7               999            6
0047801      501620                  7               999           12
0047802      501620                  7               999           21
0047901      501620                  7              1019           51
0047902      501620                  7               999            6
0048001      501620                  7               999           15
0048003      501620                  7               999            0
0048004      501620                  7              1019           48
0048101      501613                 10              1215            3
0048102      501620                 10              1215           18
0048201      501613                 10              1215            0
0048203      501620                 10              1215           48
0048204      501620                 10              1215           81
0048205      501620                 10              1215           24
0048301      501613                  5               963            0
0048303      501620                  5               963           69
0048304      501620                  5               963           51
0048403      501613                  5               963            0
0048404      501620                  8              1059          129
0048405      501620                  5               963            0
0048406      501620                  4               942            0
0048407      501620                  4               942            3
0048408      501620                  4               942           93
0048409      501620                  4               942          120
0048410      501620                  7              1007          114
0048500      501620                 10              1232           63
0048601      501620                 10              1150            9
0048602      501620                 10              1150            6
0048701      501620                  6               993            3
0048702      501620                  5               973           87
0048800      501620                 10              1150           33
0048900      501620                 10              1150           39
0049000      501620                 10              1232           81
0049102      501620                 10              1150           42
0049103      501620                 10              1150            0
0049104      501620                 10              1150            9
0049105      501620                 10              1150            0
0049203      501613                  6               987            0
0049204      501615                  6               987          228
0049205      501613                  6               987            0
0049206      501615                  6               976          129
0049301      500900                  3               923          198
